Database,Tipe,Tingkat_Kesulitan,Model_Data,ACID,JSON_Support,Full_Text_Search,Horizontal_Scaling,RAM_Minimum,RAM_Production,Ideal_For,Lisensi,Kompleksitas_Setup
SQLite,Relasional,Mudah,Embedded,Penuh,Sebagian,Tidak,Terbatas,1 MB,50 MB,Desktop/Mobile/Test,Public Domain,Sangat Mudah
MySQL,Relasional,Mudah,Tabular,Penuh,Iya,Iya,Sulit,256 MB,2-4 GB,Website/Blog/Commerce,Open Source,Mudah
MongoDB,NoSQL Document,Mudah-Sedang,JSON,Multi-doc,Penuh,Iya,Mudah,512 MB,2-4 GB,Content/Mobile/Rapid Dev,Open Source,Mudah-Sedang
Firebase,Cloud NoSQL,Mudah-Sedang,JSON,Penuh,Penuh,Tidak,Otomatis,Cloud,Cloud,Mobile/Web/Serverless,Commercial,Sangat Mudah
Redis,NoSQL Key-Value,Sedang,Key-Value,Tidak,Sebagian,Tidak,Mudah,64 MB,512 MB - 1 GB,Cache/Session/Realtime,Open Source,Mudah
PostgreSQL,Relasional,Sedang,Tabular,Penuh,Penuh,Iya,Sulit,256 MB,2-8 GB,Enterprise/Data Warehouse,Open Source,Sedang
MariaDB,Relasional,Sedang,Tabular,Penuh,Sebagian,Iya,Sulit,256 MB,2-4 GB,Website/Droplet/Compatible MySQL,Open Source,Mudah
CouchDB,NoSQL Document,Sedang,JSON,Penuh,Penuh,Tidak,Mudah,512 MB,1-2 GB,Mobile Sync/Offline-First,Open Source,Sedang
Elasticsearch,Search Engine,Sedang,JSON,Tidak,Penuh,Penuh Sekali,Mudah,512 MB,4-16 GB,Log Analysis/Full-Text Search,Open Source,Sedang-Sulit
InfluxDB,Time-Series,Sedang,Time-Series,Tidak,Tidak,Tidak,Mudah,256 MB,1-8 GB,Monitoring/IoT/Metrics,Open Source,Sedang
Neo4j,Graph Database,Sedang-Sulit,Graph,Penuh,Tidak,Tidak,Mudah,512 MB,2-8 GB,Social Network/Recommendation,Open Source + Commercial,Sedang
Cassandra,NoSQL Wide-Column,Sulit,Wide-Column,Eventual,Tidak,Tidak,Sangat Mudah,1 GB,8-32 GB,Big Data/Time-Series/IoT Scale,Open Source,Sulit
HBase,NoSQL Wide-Column,Sulit,Wide-Column,Tidak,Tidak,Tidak,Sangat Mudah,2 GB,16-64 GB,Big Data/Hadoop/Real-time,Open Source,Sulit Sekali
Oracle Database,Relasional Enterprise,Sulit,Tabular,Penuh,Iya,Iya,Ada,2 GB,8-64 GB,Enterprise/Financial/Banking,Commercial,Sulit
SQL Server,Relasional Enterprise,Sulit,Tabular,Penuh,Iya,Iya,Ada,1 GB,8-32 GB,Enterprise/Windows/BI,Commercial,Sulit
DynamoDB,Cloud NoSQL,Sulit,Key-Value/Document,Penuh,Iya,Tidak,Otomatis,Cloud,Cloud,Serverless/Mobile/Global,AWS Commercial,Mudah-Sedang
MongoDB Atlas,Cloud NoSQL,Sulit,JSON,Penuh,Penuh,Iya,Otomatis,Cloud,Cloud,Global/Distributed,Commercial,Mudah
Prometheus,Time-Series,Sedang,Time-Series,Tidak,Tidak,Tidak,Sulit,128 MB,1-2 GB,Monitoring/Metrics/Alerting,Open Source,Sedang
TimescaleDB,Time-Series,Sedang-Sulit,Time-Series + SQL,Penuh,Iya,Iya,Sulit,256 MB,2-8 GB,Advanced Time-Series/Analytics,Open Source,Sedang
Apache Solr,Search Engine,Sulit,JSON/Document,Tidak,Iya,Penuh Sekali,Mudah,512 MB,4-8 GB,Enterprise Search,Open Source,Sulit
Memcached,In-Memory Cache,Mudah-Sedang,Key-Value,Tidak,Tidak,Tidak,Mudah,32 MB,256 MB - 512 MB,Session Cache/Distributed,Open Source,Mudah
RethinkDB,Document,Sedang,JSON,Penuh,Penuh,Tidak,Mudah,256 MB,1-4 GB,Real-time Web,Open Source,Sedang
Amazon Neptune,Graph Cloud,Sulit-Expert,Graph,Penuh,Tidak,Tidak,Otomatis,Cloud,Cloud,Enterprise Graph/Recommendation,AWS Commercial,Mudah-Sedang
